001.01.0, naqsh faryaadii hai kis kii sho;xii-e ta;hriir kaa,G1
001.01.1, kaa;ga;zii hai pairahan har paikar-e ta.sviir kaa,G1
001.02.0, kaav-kaav-e sa;xt-jaaniihaa-e tanhaa))ii nah puuchh,G1
001.02.1, .sub;h karnaa shaam kaa laanaa hai juu-e shiir kaa,G1
001.03.0, ja;zbah-e be-i;xtiyaar-e shauq dekhaa chaahiye,G1
001.03.1, siinah-e shamshiir se baahar hai dam shamshiir kaa,G1
001.04.0, aagahii daam-e shuniidan jis qadar chaahe bichhaa))e,G1
001.04.1, mudda((aa ((anqaa hai apne ((aalam-e taqriir kaa,G1
001.05.0, baskih huu;n ;gaalib asiirii me;n bhii aatish zer-e paa,G1
001.05.1, muu-e aatish-diidah hai ;halqah mirii zanjiir kaa,G1
002.01.0, jaraa;hat tu;hfah almaas armu;gaa;n daa;g-e jigar hadyah,G2
002.01.1, mubaarak baad asad ;gam-;xvaar-e jaan-e dard-mand aayaa,G2
003.01.0, juz qais aur ko))ii nah aayaa bah ruu-e kaar,G3
003.01.1, .sa;hraa magar bah tangii-e chashm-e ;hasuud thaa,G3
003.02.0, aashuftagii ne naqsh-e suvaidaa kiyaa durust,G3
003.02.1, :zaahir hu))aa kih daa;g kaa sarmaayah duud thaa,G3
003.03.0, thaa ;xvaab me;n ;xayaal ko tujh se mu((aamalah,G3
003.03.1, jab aa;nkh khul ga))ii nah ziyaa;n thaa nah suud thaa,G3
003.04.0, letaa huu;n maktab-e ;gam-e dil me;n sabaq hanuuz,G3
003.04.1, lekin yihii kih raft gayaa aur buud thaa,G3
003.05.0, ;dhaa;npaa kafan ne daa;g-e ((uyuub-e barahnagii,G3
003.05.1, mai;n varnah har libaas me;n nang-e vujuud thaa,G3
003.06.0, teshe ba;gair mar nah sakaa kohkan asad,G3
003.06.1, sargashtah-e ;xumaar-e rusuum-o-quyuud thaa,G3
003.07x.0, ((aalam jahaa;n bah ((ar.z-e bisaa:t-e vujuud thaa,G3
003.07x.1, juu;n .sub;h chaak-e jeb mujhe taar-o-puud thaa,G3
003.08x.0, baazii-;xvur-e fareb hai ahl-e na:zar kaa ;zauq,G3
003.08x.1, hangaamah garm-e ;hairat-e buud-o-namuud thaa,G3
003.09x.0, ((aalam :tilism-e shahr-e ;xamoshaa;n hai sar-basar,G3
003.09x.1, yaa mai;n ;gariib-e kishvar-e guft-o-shunuud thaa,G3
003.10x.0, tangii rafiiq-e rah thii ((adam yaa vujuud thaa,G3
003.10x.1, meraa safar bah :taali((-e chashm-e ;hasuud thaa,G3
003.11x.0, tuu yak-jahaa;n qumaash-e havas jam((a kar kih mai;n,G3
